Sentence #	Word	NPOS	Tag	
Sentence: 1	do	VB	O
	u	NNS	O
	know	VB	O
	what	WP	O
	medications	NNS	O
	are	VBP	O
	r	NN	O
	for	IN	O
	bipolar	JJ	O
	depression	NN	O
	?	.	O
	currently	RB	O
	#fda	VBZ	O
	approved	VBN	O
	lamotrigine	JJ	O
	aka	NN	O
	#lamictal	NN	O
	0	0	O
Sentence: 2	thought	NN	O
	of	IN	O
	work	NN	O
	is	VBZ	O
	overwhelming	JJ	O
	me	PRP	O
	so	RB	O
	much	JJ	O
	i	NN	O
	feel	VBP	B-ADR
	like	IN	I-ADR
	crying	VBG	I-ADR
	but	CC	I-ADR
	can't	NNS	I-ADR
	because	RB	O
	olanzapine	NN	O
	has	VBZ	O
	me	PRP	O
	trapped	VBN	O
	in	IN	O
	a	DT	O
	zombie	NN	B-ADR
	state	NN	O
	#strugglewithin	NN	O
	0	0	O
Sentence: 3	5hrs	CD	O
	sleep	JJ	O
	last	JJ	O
	night	NN	O
	but	CC	O
	stayed	VBD	O
	awake	NN	O
	today	NN	O
	.	.	O
	lethargic	CC	B-ADR
	&	CC	O
	low	JJ	O
	still	RB	O
	.	.	O
	in	IN	O
	bed	NN	O
	&	CC	O
	can	MD	O
	feel	VB	O
	myself	PRP	O
	going	VBG	O
	hot	JJ	B-ADR
	&	CC	I-ADR
	cold	JJ	I-ADR
	:	:	O
	(	(	O
	#venlafaxine	VB	O
	#day7	NN	O
	0	0	O
Sentence: 4	my	PRP$	O
	urologist	JJ	O
	today	NN	O
	said	VBD	O
	that	IN	O
	trazodone	NN	O
	can	MD	O
	cause	VB	O
	priapism	NN	O
	.	.	O
	which	WDT	O
	is	VBZ	O
	an	DT	O
	erection	NN	O
	lasting	VBG	O
	4	CD	O
	hours	NNS	O
	.	.	O
	i	NN	O
	will	MD	O
	never	RB	O
	take	VB	O
	that	IN	O
	sleeping	VBG	O
	pill	NN	O
	again	RB	O
	0	0	O
Sentence: 5	ciprofloxacin	NN	O
	:	:	O
	how	WRB	O
	do	VBP	O
	you	PRP	O
	expect	VB	O
	to	TO	O
	sleep	VB	B-ADR
	when	WRB	O
	your	PRP$	O
	stomach	NN	B-ADR
	is	VBZ	I-ADR
	a	DT	I-ADR
	cement	NN	I-ADR
	mixer	NN	I-ADR
	?	.	O
	0	0	O
Sentence: 6	@dopamine_diva	JJ	O
	q	NN	O
	makes	VBZ	O
	me	PRP	O
	hungry	JJ	B-ADR
	.	.	O
	olanzapine	NN	O
	made	VBD	O
	me	PRP	O
	want	VB	B-ADR
	to	TO	I-ADR
	eat	VB	I-ADR
	my	PRP$	I-ADR
	own	JJ	I-ADR
	arm	NN	I-ADR
	!	.	O
	0	0	O
Sentence: 7	my	PRP$	O
	mood	NN	O
	swings	NNS	O
	are	VBP	O
	getting	VBG	O
	worse	JJR	O
	and	CC	O
	lamotrigine	VB	O
	isn't	NN	O
	helping	VBG	O
	at	IN	O
	all.�	NN	O
