Sentence #	Word	POS	NPOS	Tag	
Sentence: 1	too	R	RB	O
	much	A	JJ	O
	ventolin	N	NN	O
	head	N	NN	O
	feels	V	NNS	O
	all	D	DT	O
	funny	A	VBP	O
	🙈	,	NNS	O
	0	0	0	O
Sentence: 2	@_JMZF	@	NN	O
	Xanax	^	NN	O
	0	0	0	O
Sentence: 3	one	$	CD	O
	of	P	IN	O
	the	D	DT	O
	most	R	RBS	O
	common	A	JJ	O
	side	N	NN	O
	effects	N	NNS	O
	with	P	IN	O
	metformin	^	NN	O
	is	V	VBZ	O
	gi	^	JJ	O
	complaints	N	NNS	O
	–	,	VBN	O
	in	P	IN	O
	most	A	JJS	O
	cases,	N	JJ	O
	start	V	NN	O
	low	A	JJ	O
	and	&	CC	O
	titrate	V	VB	O
	up	T	RP	O
	slowly	R	RB	O
	0	0	0	O
Sentence: 4	holy	A	NN	O
	shit	N	VB	O
	my	D	PRP$	O
	spacer	N	NN	O
	seriously	R	RB	O
	amps	V	VBZ	O
	up	T	RP	O
	albuterol	N	IN	O
	like	P	IN	O
	i	O	NN	O
	am	V	VBP	O
	shaking	V	VBG	O
	0	0	0	O
Sentence: 5	rivaroxaban	^	NN	O
	is	V	VBZ	O
	great,	A	JJ	O
	until	P	IN	O
	your	D	PRP$	O
	patient	N	JJ	O
	gets	V	VBZ	O
	a	D	DT	O
	wound	N	NN	O
	and	&	CC	O
	bleeds	V	NNS	O
	solidly	R	RB	O
	for	P	IN	O
	14hours	$	CD	O
	from	P	IN	O
	it!	O	NN	O
	0	0	0	O
Sentence: 6	@aphillester	@	NN	O
	I've	L	NNP	O
	only	R	RB	O
	heard	V	VBD	O
	it	O	PRP	O
	on	P	IN	O
	the	D	DT	O
	radio	N	NN	O
	once	R	RB	O
	but	&	CC	O
	it	O	PRP	O
	was	V	VBD	O
	the	D	DT	O
	album	N	JJ	O
	version	N	NN	O
	with	P	IN	O
	nicotine,	N	JJ	O
	heroin,	N	NNS	O
	morphine	N	VBP	O
	so	P	RB	O
	yay	!	JJ	O
	👌	E	NN	O
	0	0	0	O
Sentence: 7	obese	A	JJ	O
	women	N	NNS	O
	with	P	IN	O
	pcos	N	NN	O
	on	P	IN	O
	a	D	DT	O
	regimen	N	NN	O
	of	P	IN	O
	liraglutide	^	JJ	O
	+	&	NNP	O
	metformin	^	NN	O
	and	&	CC	O
	lifestyle	N	JJ	O
	changes	N	NNS	O
	had	V	VBD	O
	significant	A	JJ	O
	weight	N	JJ	O
	loss	N	NN	O
	0	0	0	O
Sentence: 8	Blood	^	NNP	O
	thinner,	A	VBP	O
	three	$	CD	O
	different	A	JJ	O
	pills	N	NNS	O
	for	P	IN	O
	arrhythmia,	V	NN	O
	a	D	DT	O
	strong	A	JJ	O
	diuretic,	N	NN	O
	and	&	CC	O
	Lipitor.	N	NNP	O
	And	&	CC	O
	you're	L	VB	O
	a	D	DT	O
	worthless	A	NN	O
	Russian	^	JJ	O
	troll.	N	NN	O
	0	0	0	O
Sentence: 9	neurotypicals	^	NNS	O
	abusing	V	VBG	O
	Adderall	N	NNP	O
	has	V	VBZ	O
	made	V	VBN	O
	it	O	PRP	O
	difficult	A	JJ	O
	for	P	IN	O
	people	N	NNS	O
	who	O	WP	O
	actually	R	RB	O
	have	V	VBP	O
	ADHD	N	NNP	O
	to	P	TO	O
	gain	V	VB	O
	access	N	NN	O
	to	P	TO	O
	it,	O	VB	O
	but	&	CC	O
	whatever	O	WDT	O
	hope	V	VBP	O
	you	O	PRP	O
	finish	V	VBP	O
	that	D	IN	O
	final	A	JJ	O
	essay	N	NN	O
	2	$	CD	O
	hours	N	NNS	O
	before	P	IN	O
	class	N	NN	O
	boo	N	NN	O
	0	0	0	O
Sentence: 10	@lillybglambert	@	NN	O
	i	O	NN	O
	think	V	VBP	O
	it	O	PRP	O
	could	V	MD	O
	be	V	VB	O
	lowering	V	VBG	O
	my	D	PRP$	O
	blood	N	NN	O
	sugar	N	NN	O
	too	R	RB	O
	much.	R	JJ	O
	i	O	NNS	O
	take	V	VBP	O
	onglyza	T	JJ	O
	(5	$	NNP	O
	mg)	N	NN	O
	in	P	IN	O
	the	D	DT	O
	morns	N	NNS	O
	with	P	IN	O
	metformin	^	NN	O
	(1000	$	CD	O
	mg).	N	NN	O
	0	0	0	O
Sentence: 11	@trisha_hornback	@	NN	O
	humira	^	NN	O
	made	V	VBD	O
	me	O	PRP	O
	have	V	VB	O
	a	D	DT	O
	bad	A	JJ	O
	rash	N	NN	O
	on	P	IN	O
	my	D	PRP$	O
	stomach	N	NN	O
	and	&	CC	O
	broke	V	VBD	O
	out	T	RP	O
	with	P	IN	O
	bad	A	JJ	O
	psoriasis	N	NN	O
	on	P	IN	O
	my	D	PRP$	O
	leg.	N	NN	O
	can't	V	NN	O
	wait	V	NN	O
	to	P	TO	O
	start	V	VB	O
	remicade	^	VB	O
	0	0	0	O
Sentence: 12	codein	N	NN	O
	and	&	CC	O
	peggy	^	NN	O
	0	0	0	O
Sentence: 13	@magneticflea	@	JJ	O
	@msalliance	@	NN	O
	yes	!	NNS	O
	i	O	VBP	O
	am	V	VBP	O
	getting	V	VBG	O
	these	D	DT	O
	tweets	N	NNS	O
	in	P	IN	O
	the	D	DT	O
	wrong	A	JJ	O
	order	N	NN	O
	i	O	NN	O
	think+	V	VBP	O
	am	V	VBP	O
	on	P	IN	O
	stupid	A	NN	O
	gabapentin	^	NN	O
	which	D	WDT	O
	makes	V	VBZ	O
	me	O	PRP	O
	intensely	R	RB	O
	thick	A	VBP	O
	0	0	0	O
Sentence: 14	@francescatututu	@	NNS	O
	Give	V	VBP	O
	him	O	PRP	O
	24	$	CD	O
	to	P	TO	O
	inhale	V	VB	O
	this	O	DT	O
	then	R	RB	O
	we	O	PRP	O
	can	V	MD	O
	all	D	DT	O
	take	V	VB	O
	klonopin	N	NNS	O
	xanax	N	CD	O
	or	&	CC	O
	ativan	N	VB	O
	0	0	0	O
Sentence: 15	@sariel2005	@	JJ	O
	@Tuffa_the_track	@	NNP	O
	@allisonpearson	@	NNP	O
	@ClarkeMicah	@	NNP	O
	Vicodin	N	NNP	O
	and	&	CC	O
	OxyContin	N	NNP	O
	I	O	PRP	O
	heartily	R	RB	O
	agree	V	VBP	O
	with	P	IN	O
	you	O	PRP	O
	Daniil	V	VBP	O
	as	P	IN	O
	they�ve	N	NN	O
	become	V	VBP	O
	the	D	DT	O
	biggest	A	JJS	O
	drug	N	NN	O
	problem	N	NN	O
	in	P	IN	O
	the	D	DT	O
	USA.	^	NNP	O
	They	O	PRP	O
	are	V	VBP	O
	more	R	RBR	O
	euphoric	A	JJ	O
	than	P	IN	O
	heroin,	N	NN	O
	cause	P	NN	O
	less	A	JJR	O
	desire	N	NN	O
	to	P	TO	O
	puke	V	VB	O
	and	&	CC	O
	are	V	VBP	O
	being	V	VBG	O
	pushed	V	VBN	O
	like	P	IN	O
	dealers	N	NNS	O
	push	V	VBP	O
	smack.	V	JJ	O
	Opiates	N	NNP	O
	should	V	MD	O
	ONLY	R	RB	O
	be	V	VB	O
	prescribed	V	VBN	O
	for	P	IN	O
	short	A	JJ	O
	term	N	NN	O
	use.	V	NN	O
	0	0	0	O
Sentence: 16	got	V	VBD	O
	off	T	RP	O
	the	D	DT	O
	heroin	N	NN	O
	with	P	IN	O
	suboxone	^	NN	O
	then	R	RB	O
	just	R	RB	O
	built	V	VBN	O
	an	D	DT	O
	addiction	N	NN	O
	to	P	TO	O
	that	O	DT	O
	and	&	CC	O
	can't	V	VB	O
	get	V	VB	O
	off	T	RP	O
	em.	O	NN	O
	when	R	WRB	O
	will	V	MD	O
	it	O	PRP	O
	ever	R	RB	O
	stop	V	VB	O
	0	0	0	O
Sentence: 17	united	A	JJ	O
	health	N	NN	O
	insurance	N	NN	O
	and	&	CC	O
	@walgreens	@	VBZ	O
	wouldn't	V	JJ	O
	let	V	VB	O
	me	O	PRP	O
	buy	V	VB	O
	2	$	CD	O
	pristiq	A	NN	O
	pills	N	NNS	O
	to	P	TO	O
	prevent	V	VB	O
	debilitating	A	VBG	O
	withdrawal.	N	JJ	O
	it's	L	NN	O
	gonna	V	NN	O
	be	V	VB	O
	a	D	DT	O
	looong	A	JJ	O
	night!	N	NN	O
	0	0	0	O
Sentence: 18	@SameiHuda	@	JJ	O
	@sameerjauhar	@	NNP	O
	@dan_w_joyce	@	NNP	O
	@TomNwainwright	@	NNP	O
	@joannamoncrieff	@	NNP	O
	@dannydwhittaker	@	NNP	O
	I'm	L	NNP	O
	thinking	V	VBG	O
	more	R	JJR	O
	of	P	IN	O
	its	L	PRP$	O
	use	V	NN	O
	in	P	IN	O
	bipolar	A	JJ	O
	depression	N	NN	O
	�	,	NNP	O
	quet	N	NN	O
	and	&	CC	O
	lurasidone	N	NN	O
	are	V	VBP	O
	both	O	DT	O
	indicated	V	VBN	O
	for	P	IN	O
	that	O	DT	O
	AFAIK	R	NNP	O
	but	&	CC	O
	aripiprazole	^	JJ	O
