Sentence #	Word	NPOS	Tag	
Sentence: 1	do	VBP	O
	you	PRP	O
	have	VB	O
	any	DT	O
	medication	NN	O
	allergies	NNS	B-ADR
	?	.	O
	"	JJ	O
	"	NN	O
	asthma	NN	O
	!	.	O
	!	.	O
	!	.	O
	"	NN	O
	"	IN	O
	me	PRP	O
	:	:	O
	"	JJ	O
	"	NN	O
	........	NNP	O
	"	NNP	O
	"	NNP	O
	pt	NN	O
	:	:	O
	"	JJ	O
	"	VBZ	O
	no	DT	O
	wait	NN	O
	.	.	O
	avelox	NN	O
	,	,	O
	that's	VB	O
	it	PRP	O
	!	.	O
	"	JJ	O
	"	JJ	O
	"	NN	O
	"	NNP	O
	so	RB	O
	no	RB	O
	other	JJ	O
	allergies	NNS	O
	?	.	O
	"	JJ	O
	"	NN	O
	"	NNP	O
	"	NNP	O
	right	NN	O
	!	.	O
	"	JJ	O
	"	CD	O
	*cont	NN	O
	0	0	O
Sentence: 2	@ashleylvivian	JJ	O
	if	IN	O
	#avelox	NN	O
	has	VBZ	O
	hurt	VBN	B-ADR
	your	PRP$	I-ADR
	liver	NN	I-ADR
	,	,	O
	avoid	JJ	O
	tylenol	NN	O
	always	RB	O
	,	,	O
	as	IN	O
	it	PRP	O
	further	JJ	O
	damages	NNS	O
	liver	RB	O
	,	,	O
	eat	NN	O
	grapefruit	NN	O
	unless	IN	O
	taking	VBG	O
	cardiac	JJ	O
	drugs	NNS	O
	0	0	O
Sentence: 3	apparently	RB	O
	,	,	O
	baclofen	VBZ	O
	greatly	RB	O
	exacerbates	VBZ	O
	the	DT	O
	"	NNP	O
	"	NNP	O
	ad	NN	B-ADR
	"	NN	O
	"	NNP	O
	part	NN	O
	of	IN	O
	my	PRP$	O
	adhd	NN	O
	.	.	O
	average	JJ	O
	length	NN	O
	of	IN	O
	focus	NN	B-ADR
	today	NN	O
	:	:	O
	about	RB	O
	30	CD	O
	seconds	NNS	O
	.	.	O
	0	0	O
Sentence: 4	pt	NN	O
	of	IN	O
	mine	NN	O
	died	VBN	B-ADR
	from	IN	O
	cipro	JJ	O
	rt	NN	O
	@ciproispoison	NN	O
	:	:	O
	@gastromom	NN	O
	if	IN	O
	only	RB	O
	more	JJR	O
	doctors	NNS	O
	thought	VBP	O
	like	IN	O
	you	PRP	O
	!	.	O
	i	NN	O
	lost	VBD	O
	my	PRP$	O
	entire	JJ	O
	life	NN	O
	to	TO	O
	12	CD	O
	cipro	NNS	O
	pills	NNS	O
	0	0	O
Sentence: 5	@gastromom	VB	O
	the	DT	O
	only	JJ	O
	pt	NN	O
	of	IN	O
	mine	NN	O
	who	WP	O
	ever	RB	O
	died	VBD	B-ADR
	was	VBD	O
	one	CD	O
	age	NN	O
	21	CD	O
	profound	NN	O
	autism	NN	O
	chronic	JJ	O
	underwt	NN	O
	&	CC	O
	gi	NN	O
	issues	NNS	O
	,	,	O
	given	VBN	O
	lots	NNS	O
	of	IN	O
	cipro	NN	O
	.	.	O
	terrible	JJ	O
	0	0	O
Sentence: 6	owww	NN	O
	.	.	O
	i	JJ	O
	hurt	VBP	O
	my	PRP$	O
	foot	NN	O
	.	.	O
	&	CC	O
	am	VBP	O
	concerned	VBN	O
	.	.	O
	1st	CD	O
	warning	VBG	O
	on	IN	O
	cipro	NN	O
	is	VBZ	O
	tendon	JJ	B-ADR
	damage	NN	I-ADR
	.	.	O
	:	:	O
	-/	NN	O
	it	PRP	O
	certainly	RB	O
	wasn't	VBZ	O
	a	DT	O
	rupture	NN	O
	.	.	O
	i'm	JJ	O
	sure	JJ	O
	i'm	NN	O
	just	RB	O
	paranoid	NN	O
	.	.	O
	0	0	O
Sentence: 7	@deadfanclub	JJ	O
	@danadelany	NN	O
	i	NNS	O
	have	VBP	O
	a	DT	O
	penicillin/	NN	O
	keflex	NN	O
	allergy	NN	O
	so	IN	O
	my	PRP$	O
	dr	NN	O
	writes	VBZ	O
	me	PRP	O
	10	CD	O
	days	NNS	O
	of	IN	O
	zpack	NN	O
	or	CC	O
	i'd	NN	O
	still	RB	O
	be	VB	O
	sick	JJ	O
	too	RB	O
	!	.	O
	sometimes	RB	O
	cipro	JJ	O
	0	0	O
Sentence: 8	@joshuagates	NNS	O
	you	PRP	O
	forgot	VBP	O
	the	DT	O
	immodium	NN	O
	for	IN	O
	when	WRB	O
	the	DT	O
	cipro	NN	O
	kills	VBZ	O
	all	PDT	O
	the	DT	O
	good	JJ	O
	bacteria	NNS	O
	.	.	O
	:	:	O
	)	)	O
	#travelskills	NNS	O
	0	0	O
Sentence: 9	@bilgeebiri	JJ	O
	oh	MD	O
	robitussin	VB	O
	dreams	NNS	B-ADR
	are	VBP	O
	notorious	JJ	O
	.	.	O
	although	IN	O
	what	WP	O
	will	MD	O
	really	RB	O
	turn	VB	O
	'em	PRP	O
	into	IN	O
	a	DT	O
	bunuel	JJ	O
	movie	NN	O
	is	VBZ	O
	cipro	JJ	O
	.	.	O
	0	0	O
Sentence: 10	#eds	NNS	O
	friends	VBZ	O
	!	.	O
	anybody	NN	O
	taken	VBN	O
	#cipro	NNP	O
	?	.	O
	(antibiotic)	NN	O
	complications	NNS	O
	?	.	O
	?	.	O
	big	JJ	O
	side	NN	O
	effect	NN	O
	is	VBZ	O
	tendon	RB	B-ADR
	rupture...figured	JJ	I-ADR
	my	PRP$	O
	dr	NN	O
	would	MD	O
	know	VB	O
	better	JJR	O
	?	.	O
	0	0	O
Sentence: 11	@illtreaturite1	NN	O
