Sentence #	Word	POS	Tag	
Sentence: 1	do	V	O
	you	O	O
	have	V	O
	any	D	O
	medication	N	O
	allergies?	N	B-ADR
	""asthma!!!""	N	O
	me:	O	O
	""........""	,	O
	pt:	N	O
	""no	N	O
	wait.	V	O
	avelox,	N	O
	that's	L	O
	it!""	O	O
	""so	P	O
	no	D	O
	other	A	O
	allergies?""	N	O
	""right!""	A	O
	*cont	N	O
	0	0	O
Sentence: 2	@URL	@	O
	if	P	O
	#avelox	^	O
	has	V	O
	hurt	V	B-ADR
	your	D	I-ADR
	liver,	N	I-ADR
	avoid	V	O
	tylenol	N	O
	always,	R	O
	as	P	O
	it	O	O
	further	A	O
	damages	N	O
	liver,	N	O
	eat	V	O
	grapefruit	N	O
	unless	P	O
	taking	V	O
	cardiac	A	O
	drugs	N	O
	0	0	O
Sentence: 3	apparently,	R	O
	baclofen	R	O
	greatly	R	O
	exacerbates	V	O
	the	D	O
	""ad""	N	B-ADR
	part	N	O
	of	P	O
	my	D	O
	adhd.	N	O
	average	A	O
	length	N	O
	of	P	O
	focus	N	B-ADR
	today:	N	O
	about	P	O
	30	$	O
	seconds.	N	O
	0	0	O
Sentence: 4	pt	N	O
	of	P	O
	mine	O	O
	died	V	B-ADR
	from	P	O
	cipro	N	O
	rt	V	O
	@URL:	G	O
	@URL	@	O
	if	P	O
	only	R	O
	more	A	O
	doctors	N	O
	thought	V	O
	like	P	O
	you!	O	O
	i	O	O
	lost	V	O
	my	D	O
	entire	A	O
	life	N	O
	to	P	O
	12	$	O
	cipro	N	O
	pills	N	O
	0	0	O
Sentence: 5	@URL	@	O
	the	D	O
	only	A	O
	pt	N	O
	of	P	O
	mine	O	O
	who	O	O
	ever	R	O
	died	V	B-ADR
	was	V	O
	one	$	O
	age	N	O
	21	$	O
	profound	A	O
	autism	N	O
	chronic	N	O
	underwt	N	O
	&	&	O
	gi	^	O
	issues,	N	O
	given	V	O
	lots	N	O
	of	P	O
	cipro.	N	O
	terrible	A	O
	0	0	O
Sentence: 6	owww.	!	O
	i	O	O
	hurt	V	O
	my	D	O
	foot.	N	O
	&	&	O
	am	V	O
	concerned.	A	O
	1st	A	O
	warning	N	O
	on	P	O
	cipro	N	O
	is	V	O
	tendon	N	B-ADR
	damage.	N	I-ADR
	:-/	E	O
	it	O	O
	certainly	R	O
	wasn't	V	O
	a	D	O
	rupture.	N	O
	i'm	L	O
	sure	A	O
	i'm	L	O
	just	R	O
	paranoid.	A	O
	0	0	O
Sentence: 7	@URL	@	O
	@URL	@	O
	i	O	O
	have	V	O
	a	D	O
	penicillin/	N	B-ADR
	keflex	^	O
	allergy	N	O
	so	P	O
	my	D	O
	dr	N	O
	writes	V	O
	me	O	O
	10	$	O
	days	N	O
	of	P	O
	zpack	N	O
	or	&	O
	i'd	L	O
	still	R	O
	be	V	O
	sick	A	B-ADR
	too!	R	O
	sometimes	R	O
	cipro	N	O
	0	0	O
Sentence: 8	@URL	@	O
	you	O	O
	forgot	V	O
	the	D	O
	immodium	^	B-ADR
	for	P	O
	when	R	O
	the	D	O
	cipro	N	O
	kills	V	O
	all	X	O
	the	D	O
	good	A	O
	bacteria.	N	O
	:)	E	O
	#travelskills	#	O
	0	0	O
Sentence: 9	@URL	@	O
	oh	!	O
	robitussin	N	B-ADR
	dreams	N	I-ADR
	are	V	O
	notorious.	A	O
	although	P	O
	what	O	O
	will	V	O
	really	R	O
	turn	V	O
	'em	O	O
	into	P	O
	a	D	O
	bunuel	A	O
	movie	N	O
	is	V	O
	cipro.	N	O
	0	0	O
Sentence: 10	#eds	#	O
	friends!	N	O
	anybody	N	O
	taken	V	O
	#cipro?	N	O
	(antibiotic)	N	O
	complications??	N	O
	big	A	O
	side	N	O
	effect	N	O
	is	V	O
	tendon	N	B-ADR
	rupture...figured	V	I-ADR
	my	D	O
	dr	N	O
	would	V	O
	know	V	O
	better?	A	O
	0	0	O
Sentence: 11	@URL	@	O
	fluox	V	O
	a	D	O
	friend	N	O
	4	P	O
	years,	N	O
	but	&	O
	switch	V	O
	to	P	O
	cymbalta	^	O
	4	$	O
	anti-depress/pain	N	B-ADR
	control.	N	O
	i	O	O
	ocd	A	O
	worry.	V	O
	can't	V	O
	stop	V	O
	running	V	O
	mind	N	O
	0	0	O
Sentence: 12	@URL	@	O
	cymbalta	N	O
	switch	N	O
	is	V	O
	part	N	O
	of	P	O
	what	O	O
	made	V	O
	me	O	O
	flip.	V	O
	but	&	O
	any	D	O
	snri	N	O
	with	P	O
	family	N	O
	hx	N	O
	of	P	O
	mania	N	B-ADR
	puts	V	O
	you	O	O
	at	P	O
	risk.	N	O
	0	0	O
Sentence: 13	@URL	@	O
	umm,	!	O
	are	V	O
	you	O	O
	being	V	O
	a	D	O
	smart-ass?	N	O
	dont	V	O
	mess	V	O
	with	P	O
	me	O	O
	right	R	O
	now.	R	O
	going	V	O
	through	P	O
	cymbalta	^	O
	withdrawal	N	B-ADR
	i	O	O
	think	V	O
	&	&	O
	im	L	O
	very	R	O
	depressed.	A	O
	0	0	O
Sentence: 14	today	N	O
	i'm	L	O
	an	D	O
	emotional	A	B-ADR
	mess.	N	I-ADR
	that's	L	O
	what	O	O
	happens	V	O
	when	R	O
	i	O	O
	think	V	O
	i	O	O
	could	V	O
	wean	V	O
	myself	O	O
	off	P	O
	of	P	O
	cymbalta.	N	O
	0	0	O
Sentence: 15	losing	V	O
	it.	O	O
	could	V	O
	not	R	B-ADR
	remember	V	I-ADR
	the	D	O
	word	N	O
	power	N	O
	strip.	N	O
	wonder	V	O
	which	D	O
	drug	N	O
	is	V	O
	doing	V	O
	this	D	O
	memory	N	B-ADR
	lapse	N	I-ADR
	thing.	N	O
	my	D	O
	guess	V	O
	the	D	O
	cymbalta.	N	O
	#helps	V	O
	0	0	O
Sentence: 16	that	D	O
	nap	N	B-ADR
	was	V	O
	on	P	O
	point....	N	O
	cymbalta	N	O
	did	V	O
	that	D	O
	shit	N	O
	cuz	P	O
	i	O	O
	dont	V	O
	take	V	O
	naps...ever	N	O
	0	0	O
Sentence: 17	@URL	@	O
	cymbalta.	N	O
	3x	P	O
	the	D	O
	dosage	N	O
	i	O	O
	was	V	O
	once	R	O
	on...everything	P	O
	is	V	O
	psychedelic	A	B-ADR
	and	&	O
	yuck.	!	O
	still	R	O
	grateful	A	O
	for	P	O
	meds!	N	O
	0	0	O
Sentence: 18	@URL	@	O
	@URL	@	O
	i'm	L	O
	taking	V	O
	700mg	N	O
	pregablin	N	O
	and	&	O
	60	$	O
	mg	N	O
	duloxetine	N	O
	hence	R	O
	why	R	O
	i'm	L	O
	totally	R	O
	mashed	A	B-ADR
	0	0	O
Sentence: 19	@URL	@	O
	i	O	O
	was	V	O
	on	P	O
	celexa,	N	B-ADR
	which	D	O
	made	V	O
	me	O	O
	sleepy.	A	O
	i	O	O
	switched	V	O
	to	P	O
	effexor.	V	O
	it	O	O
	has	V	O
	norepinephrine	^	O
	in	P	O
	it,	O	O
	so	P	O
	it	O	O
	jump	V	O
	starts	V	O
	me	O	O
	in	P	O
	the	D	O
	mornin	N	O
	0	0	O
Sentence: 20	i	O	O
	feel	V	O
	so	P	O
	pill-ill	N	O
	again	R	O
	-	,	O
	decided	V	O
	to	P	O
	seriously	R	O
	cut	V	O
	down	T	O
	to	P	O
	just	R	O
	weekly	A	O
	enbrel	N	O
	and	&	O
	metho	V	O
	alongside	P	O
	daily	A	O
	nsaids	N	O
	#rheum.	#	B-ADR
	0	0	O
