,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
word,if,i,become,high,i,will,not,increase,the,lamotrigine,as,this,will,fuel,the,sleep,problems,,,,,,,,,,,,,
pos,P,O,V,A,O,V,R,V,D,N,P,O,V,V,D,N,N,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,
word,@fergaroo,thanks,:,),i,so,wanted,venlafaxine,to,work,cos,at,least,it,didn�t,increase,my,appetite,like,citalopram,did,.,,,,,,,,
pos,@,N,",",",",O,R,V,V,P,V,P,P,A,O,V,V,D,N,P,^,V,",",,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
word,@secretschizo,i,tried,coming,off,my,olanzapine,twice,in,the,past,3,years,without,telling,my,psych,-,unfortunately,too,difficult,to,come,off,!,,,,,
pos,@,O,V,V,T,D,N,R,P,D,A,$,N,P,V,D,N,",",R,R,A,P,V,T,",",,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,,,,,
pred,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
word,@hendryhannah,i,tried,fluoxetine,.,it,knocked,me,out,.,,,,,,,,,,,,,,,,,,,,
pos,@,O,V,^,",",O,V,O,T,",",,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,,,,,,,,,,,,,,,,,,,,
